delivery_id,supplier_id,component_id,plant_id,purchase_order_id,planned_delivery_date,actual_delivery_date,ordered_quantity,delivered_quantity,accepted_quantity,rejected_quantity,delivery_status
DEL0037,SUP001,COMP003,PLANT02,PO0037,2026-01-11,2026-01-21,1000,1000,950,50,LATE
DEL0038,SUP003,COMP001,PLANT01,PO0038,2026-01-16,2026-01-19,1000,1000,950,50,LATE
DEL0039,SUP001,COMP003,PLANT02,PO0039,2026-01-23,2026-02-02,1000,1000,950,50,LATE
DEL0040,SUP001,COMP002,PLANT02,PO0040,2026-01-15,2026-01-17,1000,1000,950,50,LATE
DEL0041,SUP003,COMP001,PLANT01,PO0041,2026-01-18,2026-01-28,1000,1000,950,50,LATE
DEL0042,SUP003,COMP003,PLANT02,PO0042,2026-01-25,2026-01-29,1000,1000,950,50,LATE
DEL0043,SUP001,COMP002,PLANT02,PO0043,2026-01-23,2026-02-02,1000,1000,950,50,LATE
DEL0044,SUP001,COMP002,PLANT02,PO0044,2026-01-20,2026-01-22,1000,1000,950,50,LATE
DEL0045,SUP002,COMP003,PLANT02,PO0045,2026-01-13,2026-01-13,1000,1000,950,50,LATE
DEL0046,SUP001,COMP003,PLANT02,PO0046,2026-01-30,2026-02-09,1000,1000,950,50,LATE
DEL0047,SUP001,COMP001,PLANT02,PO0047,2026-01-25,2026-02-02,1000,1000,950,50,LATE
DEL0048,SUP001,COMP002,PLANT01,PO0048,2026-01-21,2026-01-24,1000,1000,950,50,LATE
DEL0049,SUP003,COMP002,PLANT01,PO0049,2026-01-07,2026-01-13,1000,1000,950,50,LATE
DEL0050,SUP003,COMP003,PLANT02,PO0050,2026-01-31,2026-02-04,1000,1000,950,50,LATE
DEL0051,SUP002,COMP002,PLANT02,PO0051,2026-01-23,2026-01-31,1000,1000,950,50,LATE
DEL0052,SUP001,COMP002,PLANT01,PO0052,2026-01-13,2026-01-23,1000,1000,950,50,LATE
DEL0053,SUP002,COMP001,PLANT01,PO0053,2026-01-15,2026-01-16,1000,1000,950,50,LATE
DEL0054,SUP003,COMP002,PLANT01,PO0054,2026-01-13,2026-01-22,1000,1000,950,50,LATE
DEL0055,SUP002,COMP002,PLANT02,PO0055,2026-01-12,2026-01-19,1000,1000,950,50,LATE
DEL0056,SUP001,COMP003,PLANT01,PO0056,2026-01-01,2026-01-03,1000,1000,950,50,UNKNOWN STATUS
DEL0057,SUP002,COMP003,PLANT02,PO0057,2026-01-04,2026-01-13,1000,1000,950,50,LATE
DEL0058,SUP001,COMP001,PLANT01,PO0058,2026-01-01,2026-01-05,1000,1000,950,50,LATE
DEL0059,SUP003,COMP002,PLANT01,PO0059,2026-01-21,2026-01-29,1000,1000,950,50,LATE
DEL0060,SUP001,COMP002,PLANT02,PO0060,2026-01-26,2026-02-01,1000,1000,950,50,LATE
DEL0061,SUP002,COMP001,PLANT02,PO0061,2026-01-16,2026-01-20,1000,1000,950,50,LATE
DEL0062,SUP002,COMP002,PLANT01,PO0062,2026-01-23,2026-01-23,1000,1000,950,50,LATE
DEL0063,SUP002,COMP003,PLANT01,PO0063,2026-01-30,2026-02-03,1000,1000,950,50,LATE
DEL0064,SUP001,COMP002,PLANT01,PO0064,2026-01-01,2026-01-02,1000,1000,950,50,LATE
DEL0065,SUP001,COMP003,PLANT02,PO0065,2026-01-23,2026-01-28,1000,1000,950,50,LATE
DEL0066,SUP002,COMP001,PLANT01,PO0066,2026-01-04,2026-01-14,1000,1000,950,50,LATE
DEL0067,SUP003,COMP001,PLANT02,PO0067,2026-01-17,2026-01-26,1000,1000,950,50,LATE
DEL0068,SUP002,COMP001,PLANT02,PO0068,2026-01-06,2026-01-13,1000,1000,950,50,LATE
DEL0069,SUP003,COMP003,PLANT02,PO0069,2026-01-07,2026-01-10,1000,1000,950,50,LATE
DEL0070,SUP001,COMP003,PLANT01,PO0070,2026-01-11,2026-01-21,1000,1000,950,50,LATE
DEL0071,SUP003,COMP003,PLANT02,PO0071,2026-01-29,2026-01-30,1000,1000,950,50,LATE
DEL0072,SUP002,COMP002,PLANT01,PO0072,2026-01-19,2026-01-26,1000,1000,950,50,LATE
DEL0073,SUP003,COMP002,PLANT01,PO0073,2026-01-20,2026-01-20,1000,1000,950,50,LATE
DEL0074,SUP003,COMP003,PLANT02,PO0074,2026-01-19,2026-01-26,1000,1000,950,50,LATE
DEL0075,SUP003,COMP001,PLANT01,PO0075,2026-01-13,2026-01-22,1000,1000,950,50,LATE
DEL0076,SUP002,COMP001,PLANT01,PO0076,2026-01-01,2026-01-03,1000,1000,950,50,LATE
,SUP001,COMP002,PLANT02,PO0077,2026-01-14,2026-01-14,1000,1000,950,50,LATE
DEL0078,SUP002,COMP001,PLANT02,PO0078,2026-01-15,2026-01-20,1000,1000,950,50,LATE
DEL0079,SUP003,COMP001,PLANT01,PO0079,2026-01-03,2026-01-11,1000,1000,950,50,LATE
DEL0080,SUP002,COMP002,PLANT02,PO0080,2026-01-21,2026-01-21,1000,1000,950,50,LATE
DEL0081,SUP003,COMP002,PLANT01,PO0081,2026-01-04,2026-01-05,1000,1000,950,50,LATE
DEL0082,SUP003,COMP003,PLANT01,PO0082,2026-01-01,2026-01-05,1000,1000,950,50,LATE
DEL0083,SUP001,COMP002,PLANT01,PO0083,2026-01-24,2026-01-31,1000,1000,950,50,LATE
DEL0084,SUP002,COMP003,PLANT01,PO0084,2026-01-23,2026-01-23,1000,1000,950,50,LATE
DEL0085,SUP001,COMP001,PLANT01,PO0085,2026-01-17,2026-01-18,1000,1000,950,50,LATE
DEL0086,SUP002,COMP002,PLANT02,PO0086,2026-01-28,2026-02-03,1000,1000,950,50,LATE
DEL0087,SUP001,COMP002,PLANT01,PO0087,2026-01-07,2026-01-17,1000,1000,950,50,LATE
DEL0088,SUP003,COMP002,PLANT02,PO0088,2026-01-01,2026-01-11,1000,1000,950,50,LATE
DEL0089,SUP001,COMP001,PLANT02,PO0089,2026-01-25,2026-01-30,1000,1000,950,50,LATE
DEL0090,SUP003,COMP003,PLANT01,PO0090,2026-01-10,2026-01-20,1000,1000,950,50,LATE
DEL0091,SUP003,COMP001,PLANT01,PO0091,2026-01-31,2026-02-09,1000,1000,950,50,LATE
DEL0092,SUP002,COMP003,PLANT01,PO0092,2026-01-04,2026-01-11,1000,1000,950,50,LATE
DEL0093,SUP003,COMP001,PLANT01,PO0093,2026-01-28,2026-02-01,1000,1000,950,50,LATE
DEL0094,SUP003,COMP001,PLANT02,PO0094,2026-01-04,2026-01-10,1000,1000,950,50,LATE
DEL0095,SUP002,COMP001,PLANT01,PO0095,2026-01-22,2026-01-24,1000,1000,950,50,LATE
DEL0096,SUP003,COMP003,PLANT02,PO0096,2026-01-06,2026-01-12,1000,1000,950,50,LATE
DEL0097,SUP001,COMP002,PLANT01,PO0097,2026-01-27,2026-01-31,1000,1000,950,50,LATE
DEL0098,SUP001,COMP001,PLANT01,PO0098,2026-01-26,2026-02-04,1000,1000,950,50,LATE
DEL0099,SUP003,COMP002,PLANT02,PO0099,2026-01-10,2026-01-12,1000,1000,950,50,LATE
DEL0100,SUP003,COMP003,PLANT01,PO0100,2026-01-18,2026-01-26,1000,1000,950,50,LATE
DEL0101,SUP001,COMP002,PLANT02,PO0101,2026-01-07,2026-01-07,1000,1000,950,50,LATE
DEL0102,SUP002,COMP002,PLANT02,PO0102,2026-01-01,2026-01-04,1000,1000,950,50,LATE
DEL0103,SUP002,COMP003,PLANT02,PO0103,2026-01-10,2026-01-11,1000,1000,950,50,LATE
DEL0104,SUP002,COMP003,PLANT01,PO0104,2026-01-21,2026-01-27,1000,1000,950,50,LATE
DEL0105,SUP002,COMP003,PLANT01,PO0105,2026-01-06,2026-01-14,1000,1000,950,50,LATE
DEL0106,SUP002,COMP003,PLANT01,PO0106,2026-01-10,2026-01-19,1000,1000,950,50,LATE
DEL0107,SUP003,COMP002,PLANT01,PO0107,2026-01-19,2026-01-19,1000,1000,950,50,LATE
DEL0108,SUP003,COMP003,PLANT01,PO0108,2026-01-06,2026-01-13,1000,1000,950,50,LATE
DEL0109,SUP003,COMP003,PLANT01,PO0109,2026-01-17,2026-01-17,1000,1000,950,50,LATE
DEL0110,SUP002,COMP002,PLANT01,PO0110,2026-01-10,2026-01-20,1000,1000,950,50,LATE
DEL0111,SUP001,COMP002,PLANT02,PO0111,2026-01-15,2026-01-19,1000,1000,950,50,LATE
DEL0112,SUP003,COMP003,PLANT01,PO0112,2026-01-26,2026-01-28,1000,1000,950,50,LATE
DEL0113,SUP003,COMP001,PLANT01,PO0113,2026-01-10,2026-01-18,1000,1000,950,50,LATE
DEL0114,SUP002,COMP001,PLANT02,PO0114,2026-01-22,2026-01-25,1000,1000,950,50,LATE
DEL0115,SUP002,COMP001,PLANT01,PO0115,2026-01-04,2026-01-06,1000,1000,950,50,LATE
DEL0116,SUP003,COMP003,PLANT02,PO0116,2026-01-19,2026-01-29,1000,1000,950,50,LATE
DEL0117,SUP003,COMP002,PLANT01,PO0117,2026-01-19,2026-01-26,1000,1000,950,50,LATE
DEL0118,SUP001,COMP001,PLANT01,PO0118,2026-01-02,2026-01-06,1000,1000,950,50,LATE
,SUP002,COMP003,PLANT02,PO0119,2026-01-24,2026-02-03,1000,1000,950,50,LATE
DEL0120,SUP003,COMP002,PLANT02,PO0120,2026-01-17,2026-01-18,1000,1000,950,50,LATE
DEL0121,SUP002,COMP003,PLANT02,PO0121,2026-01-03,2026-01-13,1000,1000,950,50,LATE
DEL0122,SUP001,COMP003,PLANT02,PO0122,2026-01-12,2026-01-21,1000,1000,950,50,LATE
DEL0123,SUP001,COMP001,PLANT01,PO0123,2026-01-08,2026-01-16,1000,1000,950,50,LATE
DEL0124,SUP001,COMP002,PLANT02,PO0124,2026-01-23,2026-01-25,1000,1000,950,50,LATE
DEL0125,SUP002,COMP002,PLANT01,PO0125,2026-01-25,2026-02-02,1000,1000,950,50,LATE
DEL0126,SUP002,COMP002,PLANT02,PO0126,2026-01-03,2026-01-06,1000,1000,950,50,LATE
DEL0127,SUP002,COMP002,PLANT02,PO0127,2026-01-20,2026-01-25,1000,1000,950,50,LATE
DEL0128,SUP001,COMP003,PLANT02,PO0128,2026-01-18,2026-01-27,1000,1000,950,50,LATE
DEL0129,SUP003,COMP002,PLANT02,PO0129,2026-01-04,2026-01-13,1000,1000,950,50,LATE
DEL0130,SUP002,COMP002,PLANT02,PO0130,2026-01-07,2026-01-14,1000,1000,950,50,LATE
DEL0131,SUP003,COMP002,PLANT01,PO0131,2026-01-23,2026-01-26,1000,1000,950,50,LATE
DEL0132,SUP001,COMP003,PLANT01,PO0132,2026-01-13,2026-01-15,1000,1000,950,50,LATE
DEL0133,SUP001,COMP003,PLANT01,PO0133,2026-01-03,2026-01-05,1000,1000,950,50,LATE
DEL0134,SUP002,COMP003,PLANT01,PO0134,2026-01-21,2026-01-25,1000,1000,950,50,LATE
DEL0135,SUP001,COMP001,PLANT02,PO0135,2026-01-18,2026-01-24,1000,1000,950,50,LATE
DEL0136,SUP003,COMP003,PLANT01,PO0136,2026-01-21,2026-01-25,1000,1000,950,50,LATE
DEL0137,SUP001,COMP003,PLANT02,PO0137,2026-01-13,2026-01-13,1000,1000,950,50,LATE
DEL0138,SUP003,COMP001,PLANT01,PO0138,2026-01-01,2026-01-03,1000,1000,950,50,LATE
DEL0139,SUP002,COMP002,PLANT01,PO0139,2026-01-29,2026-02-08,1000,1000,950,50,LATE
DEL0140,SUP003,COMP003,PLANT01,PO0140,2026-01-05,2026-01-13,1000,1000,950,50,LATE
DEL0141,SUP002,COMP003,PLANT01,PO0141,2026-01-07,2026-01-17,1000,1000,950,50,LATE
DEL0142,SUP002,COMP002,PLANT01,PO0142,2026-01-21,2026-01-31,1000,1000,950,50,LATE
DEL0143,SUP001,COMP001,PLANT02,PO0143,2026-01-10,2026-01-17,1000,1000,950,50,LATE
DEL0144,SUP002,COMP003,PLANT02,PO0144,2026-01-04,2026-01-05,1000,1000,950,50,LATE
DEL0145,SUP001,COMP002,PLANT02,PO0145,2026-01-21,2026-01-29,1000,1000,950,50,LATE
DEL0146,SUP003,COMP003,PLANT02,PO0146,2026-01-16,2026-01-18,1000,1000,950,50,LATE
DEL0147,SUP002,COMP002,PLANT02,PO0147,2026-01-24,2026-01-25,1000,1000,950,50,LATE
DEL0148,SUP001,COMP003,PLANT02,PO0148,2026-01-31,2026-02-10,1000,1000,950,50,LATE
DEL0149,SUP001,COMP002,PLANT02,PO0149,2026-01-24,2026-01-31,1000,1000,950,50,LATE
DEL0150,SUP003,COMP002,PLANT01,PO0150,2026-01-12,2026-01-13,1000,1000,950,50,LATE
DEL0151,SUP002,COMP003,PLANT02,PO0151,2026-01-19,2026-01-20,1000,1000,950,50,LATE
DEL0152,SUP001,COMP001,PLANT01,PO0152,2026-01-23,2026-02-01,1000,1000,950,50,LATE
DEL0153,SUP003,COMP003,PLANT02,PO0153,2026-01-18,2026-01-18,1000,1000,950,50,LATE
DEL0154,SUP001,COMP003,PLANT02,PO0154,2026-01-17,2026-01-20,1000,1000,950,50,LATE
DEL0155,SUP003,COMP001,PLANT02,PO0155,2026-01-16,2026-01-22,1000,1000,950,50,LATE
DEL0156,SUP001,COMP002,PLANT02,PO0156,2026-01-06,2026-01-12,1000,1000,950,50,LATE
DEL0157,SUP003,COMP001,PLANT02,PO0157,2026-01-13,2026-01-19,1000,1000,950,50,LATE
DEL0158,SUP001,COMP002,PLANT02,PO0158,2026-01-11,2026-01-14,1000,1000,950,50,LATE
DEL0159,SUP003,COMP003,PLANT01,PO0159,2026-01-24,2026-01-24,1000,1000,950,50,LATE
DEL0160,SUP003,COMP002,PLANT01,PO0160,2026-01-25,2026-01-30,1000,1000,950,50,LATE
DEL0161,SUP002,COMP002,PLANT01,PO0161,2026-01-02,2026-01-10,1000,1000,950,50,LATE
DEL0162,SUP003,COMP003,PLANT01,PO0162,2026-01-05,2026-01-10,1000,1000,950,50,LATE
DEL0163,SUP001,COMP001,PLANT01,PO0163,2026-01-27,2026-02-01,1000,1000,950,50,LATE
DEL0164,SUP001,COMP003,PLANT01,PO0164,2026-01-10,2026-01-10,1000,1000,950,50,LATE
DEL0165,SUP003,COMP001,PLANT02,PO0165,2026-01-07,2026-01-16,1000,1000,950,50,LATE
DEL0166,SUP001,COMP001,PLANT02,PO0166,2026-01-25,2026-01-25,1000,1000,950,50,LATE
DEL0167,SUP002,COMP002,PLANT02,PO0167,2026-01-14,2026-01-23,1000,1000,950,50,LATE
DEL0168,SUP002,COMP002,PLANT02,PO0168,2026-01-24,2026-01-30,1000,1000,950,50,LATE
DEL0169,SUP001,COMP002,PLANT01,PO0169,2026-01-14,2026-01-15,1000,1000,950,50,LATE
DEL0170,SUP002,COMP002,PLANT02,PO0170,2026-01-19,2026-01-26,1000,1000,950,50,LATE
DEL0171,SUP002,COMP002,PLANT01,PO0171,2026-01-19,2026-01-19,1000,1000,950,50,LATE
DEL0172,SUP001,COMP001,PLANT01,PO0172,2026-01-20,2026-01-29,1000,1000,950,50,LATE
DEL0173,SUP003,COMP003,PLANT01,PO0173,2026-01-30,2026-01-31,1000,1000,950,50,LATE
DEL0174,SUP003,COMP002,PLANT02,PO0174,2026-01-17,2026-01-18,1000,1000,950,50,LATE
DEL0175,SUP002,COMP001,PLANT02,PO0175,2026-01-28,2026-02-07,1000,1000,950,50,LATE
DEL0176,SUP002,COMP003,PLANT02,PO0176,2026-01-30,2026-02-04,1000,1000,950,50,LATE
DEL0177,SUP002,COMP003,PLANT01,PO0177,2026-01-03,2026-01-13,1000,1000,950,50,LATE
DEL0178,SUP001,COMP002,PLANT01,PO0178,2026-01-15,2026-01-23,1000,1000,950,50,LATE
DEL0179,SUP001,COMP003,PLANT02,PO0179,2026-01-22,2026-02-01,1000,1000,950,50,LATE
DEL0180,SUP002,COMP003,PLANT01,PO0180,2026-01-30,2026-02-01,1000,1000,950,50,LATE
DEL0181,SUP003,COMP001,PLANT02,PO0181,2026-01-11,2026-01-16,1000,1000,950,50,LATE
DEL0182,SUP001,COMP003,PLANT01,PO0182,2026-01-30,2026-02-05,1000,1000,950,50,LATE
DEL0183,SUP003,COMP002,PLANT01,PO0183,2026-01-02,2026-01-09,1000,1000,950,50,LATE
DEL0184,SUP002,COMP001,PLANT02,PO0184,2026-01-11,2026-01-17,1000,1000,950,50,LATE
DEL0185,SUP003,COMP001,PLANT01,PO0185,2026-01-22,2026-01-23,1000,1000,950,50,LATE
DEL0186,SUP003,COMP002,PLANT01,PO0186,2026-01-19,2026-01-22,1000,1000,950,50,LATE
DEL0187,SUP002,COMP003,PLANT01,PO0187,2026-01-18,2026-01-27,1000,1000,950,50,LATE
DEL0188,SUP003,COMP002,PLANT02,PO0188,2026-01-18,2026-01-28,1000,1000,950,50,LATE
DEL0189,SUP001,COMP002,PLANT02,PO0189,2026-01-01,2026-01-09,1000,1000,950,50,LATE
DEL0190,SUP002,COMP002,PLANT01,PO0190,2026-01-02,2026-01-12,1000,1000,950,50,LATE
DEL0191,SUP001,COMP001,PLANT02,PO0191,2026-01-03,2026-01-11,1000,1000,950,50,LATE
DEL0192,SUP001,COMP002,PLANT02,PO0192,2026-01-29,2026-02-08,1000,1000,950,50,LATE
DEL0193,SUP001,COMP001,PLANT01,PO0193,2026-01-01,2026-01-09,1000,1000,950,50,LATE
DEL0194,SUP003,COMP003,PLANT02,PO0194,2026-01-31,2026-01-31,1000,1000,950,50,LATE
DEL0195,SUP002,COMP002,PLANT01,PO0195,2026-01-10,2026-01-14,1000,1000,950,50,LATE
DEL0196,SUP001,COMP001,PLANT02,PO0196,2026-01-15,2026-01-20,1000,1000,950,50,LATE
DEL0197,SUP003,COMP003,PLANT01,PO0197,2026-01-29,2026-02-08,1000,1000,950,50,LATE
DEL0198,SUP003,COMP002,PLANT01,PO0198,2026-01-10,2026-01-19,1000,1000,950,50,LATE
DEL0199,SUP002,COMP001,PLANT02,PO0199,2026-01-18,2026-01-28,1000,1000,950,50,LATE
