inspection_id,vehicle_id,component_id,supplier_id,plant_id,production_line_id,inspection_timestamp,inspection_result,defect_code,defect_severity,rework_required,scrap_required
INSP0053,VEH001,COMP003,SUP001,PLANT02,LINE02,2026-01-22,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0054,VEH001,COMP001,SUP003,PLANT01,LINE02,2026-02-14,PASS,,,False,False
INSP0055,VEH002,COMP003,SUP002,PLANT01,LINE03,2026-01-05,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0056,VEH001,COMP001,SUP001,PLANT01,LINE01,2026-02-26,PASS,,,False,False
INSP0057,VEH001,COMP001,SUP001,PLANT01,LINE03,2026-01-02,PASS,,,False,False
INSP0058,VEH002,COMP002,SUP002,PLANT01,LINE02,2026-01-05,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0059,VEH001,COMP001,SUP002,PLANT02,LINE02,2026-02-12,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0060,VEH001,COMP002,SUP002,PLANT02,LINE01,2026-01-30,PASS,,,False,False
INSP0061,VEH001,COMP003,SUP002,PLANT02,LINE03,2026-01-30,PASS,,,False,False
INSP0062,VEH002,COMP002,SUP002,PLANT01,LINE01,2026-02-03,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0063,VEH001,COMP003,SUP001,PLANT01,LINE03,2026-02-17,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0064,VEH001,COMP001,SUP001,PLANT02,LINE01,2026-02-04,PASS,,,False,False
INSP0065,VEH002,COMP002,SUP002,PLANT01,LINE01,2026-01-28,PASS,,,False,False
INSP0066,VEH001,COMP002,SUP002,PLANT02,LINE03,2026-02-12,FAIL,SCRATCH,MINOR,True,False
INSP0067,VEH002,COMP003,SUP003,PLANT01,LINE02,2026-02-23,PASS,,,False,False
INSP0068,VEH003,COMP001,SUP003,PLANT01,LINE02,2026-01-06,PASS,,,False,False
INSP0069,VEH003,COMP003,SUP002,PLANT02,LINE01,2026-02-05,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0070,VEH003,COMP002,SUP002,PLANT01,LINE01,2026-01-08,FAIL,SCRATCH,MINOR,True,False
INSP0071,VEH001,COMP001,SUP001,PLANT01,LINE01,2026-01-19,PASS,,,False,False
INSP0072,VEH001,COMP002,SUP003,PLANT02,LINE03,2026-02-16,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0073,VEH002,COMP001,SUP003,PLANT02,LINE03,2026-01-12,PASS,,,False,False
INSP0074,VEH001,COMP002,SUP001,PLANT02,LINE03,2026-02-01,PASS,,,False,False
INSP0075,VEH002,COMP001,SUP001,PLANT02,LINE02,2026-02-21,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0076,VEH001,COMP003,SUP003,PLANT02,LINE03,2026-01-05,PASS,,,False,False
INSP0077,VEH003,COMP003,SUP003,PLANT02,LINE01,2026-02-16,PASS,,EXTREME,False,False
INSP0078,VEH002,COMP001,SUP002,PLANT01,LINE02,2026-01-19,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0079,VEH001,COMP002,SUP001,PLANT02,LINE02,2026-02-28,PASS,,,False,False
INSP0080,VEH001,COMP002,SUP003,PLANT02,LINE03,2026-02-08,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0081,VEH001,COMP002,SUP003,PLANT01,LINE03,2026-01-27,PASS,,,False,False
INSP0082,VEH001,COMP002,SUP003,PLANT01,LINE03,2026-01-12,PASS,,,False,False
INSP0083,VEH002,COMP001,SUP001,PLANT01,LINE03,2026-02-17,PASS,,,False,False
INSP0084,VEH002,COMP003,SUP001,PLANT01,LINE03,2026-01-28,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0085,VEH002,COMP002,SUP003,PLANT01,LINE03,2026-01-29,PASS,,,False,False
,VEH003,COMP002,SUP001,PLANT02,LINE02,2026-01-26,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0087,VEH002,COMP002,SUP003,PLANT01,LINE01,2026-02-24,PASS,,,False,False
INSP0088,VEH001,COMP003,SUP002,PLANT02,LINE02,2026-02-21,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0089,VEH001,COMP003,SUP002,PLANT02,LINE01,2026-01-15,PASS,,,False,False
INSP0090,VEH002,COMP002,SUP003,PLANT02,LINE01,2026-01-07,PASS,,,False,False
INSP0091,VEH001,COMP003,SUP002,PLANT01,LINE02,2026-01-06,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0092,VEH001,COMP002,SUP003,PLANT02,LINE03,2026-01-06,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0093,VEH003,COMP002,SUP001,PLANT02,LINE03,2026-02-28,PASS,,,False,False
INSP0094,VEH001,COMP001,SUP002,PLANT02,LINE01,2026-01-19,PASS,,,False,False
INSP0095,VEH001,COMP003,SUP001,PLANT01,LINE01,2026-01-18,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0096,VEH001,COMP001,SUP001,PLANT01,LINE03,2026-02-10,PASS,,,False,False
INSP0097,VEH002,COMP001,SUP001,PLANT02,LINE03,2026-01-24,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0098,VEH002,COMP001,SUP002,PLANT02,LINE01,2026-02-02,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0099,VEH003,COMP003,SUP003,PLANT02,LINE02,2026-02-13,FAIL,SCRATCH,MINOR,True,False
INSP0100,VEH003,COMP003,SUP001,PLANT02,LINE03,2026-02-12,PASS,,,False,False
INSP0101,VEH001,COMP002,SUP003,PLANT01,LINE01,2026-02-01,PASS,,,False,False
INSP0102,VEH001,COMP001,SUP001,PLANT02,LINE01,2026-02-26,PASS,,,False,False
INSP0103,VEH002,COMP002,SUP003,PLANT02,LINE03,2026-01-16,PASS,,,False,False
INSP0104,VEH003,COMP002,SUP003,PLANT01,LINE03,2026-02-19,PASS,,,False,False
INSP0105,VEH002,COMP003,SUP003,PLANT02,LINE03,2026-01-15,FAIL,SCRATCH,MINOR,True,False
INSP0106,VEH001,COMP002,SUP002,PLANT02,LINE01,2026-02-15,PASS,,,False,False
INSP0107,VEH001,COMP002,SUP003,PLANT02,LINE03,2026-02-08,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0108,VEH002,COMP003,SUP002,PLANT01,LINE02,2026-02-15,FAIL,SCRATCH,MINOR,True,False
INSP0109,VEH003,COMP001,SUP001,PLANT02,LINE02,2026-01-01,PASS,,,False,False
INSP0110,VEH002,COMP001,SUP001,PLANT02,LINE02,2026-02-28,FAIL,DIMENSION_ERROR,EXTREME,True,False
INSP0111,VEH001,COMP001,SUP001,PLANT02,LINE03,2026-01-30,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0112,VEH001,COMP999,SUP001,PLANT01,LINE02,2026-02-01,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0113,VEH001,COMP001,SUP003,PLANT02,LINE01,2026-02-18,FAIL,SCRATCH,MINOR,True,False
INSP0114,VEH002,COMP002,SUP003,PLANT02,LINE01,2026-02-01,PASS,,,False,False
INSP0115,VEH003,COMP001,SUP001,PLANT01,LINE01,2026-01-27,PASS,,,False,False
INSP0116,VEH001,COMP001,SUP001,PLANT01,LINE01,2026-01-19,FAIL,SCRATCH,MINOR,True,False
INSP0117,VEH003,COMP002,SUP003,PLANT02,LINE02,2026-02-17,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0118,VEH003,COMP002,SUP001,PLANT02,LINE01,2026-02-23,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0119,VEH002,COMP002,SUP003,PLANT02,LINE02,2026-01-09,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0120,VEH002,COMP001,SUP002,PLANT02,LINE02,2026-01-18,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0121,VEH002,COMP003,SUP003,PLANT01,LINE02,2026-01-25,PASS,,,False,False
INSP0122,VEH001,COMP003,SUP002,PLANT02,LINE03,2026-02-03,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0123,VEH002,COMP003,SUP001,PLANT02,LINE02,2026-01-07,PASS,,,False,False
INSP0124,VEH003,COMP001,SUP003,PLANT02,LINE02,2026-02-04,FAIL,SCRATCH,MINOR,True,False
INSP0125,VEH001,COMP003,SUP001,PLANT02,LINE02,2026-01-23,PASS,,EXTREME,False,False
INSP0126,VEH003,COMP001,SUP002,PLANT01,LINE02,2026-01-10,PASS,,,False,False
INSP0127,VEH001,COMP001,SUP001,PLANT01,LINE01,2026-02-03,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0128,VEH001,COMP002,SUP002,PLANT01,LINE03,2026-02-12,PASS,,,False,False
INSP0129,VEH003,COMP003,SUP001,PLANT01,LINE03,2026-01-03,PASS,,,False,False
INSP0130,VEH002,COMP003,SUP002,PLANT01,LINE01,2026-01-12,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0131,VEH001,COMP001,SUP002,PLANT02,LINE03,2026-02-08,PASS,,EXTREME,False,False
INSP0132,VEH001,COMP003,SUP002,PLANT01,LINE01,2026-02-19,FAIL,SCRATCH,MINOR,True,False
INSP0133,VEH002,COMP001,SUP002,PLANT02,LINE03,2026-02-27,PASS,,,False,False
INSP0134,VEH002,COMP003,SUP003,PLANT01,LINE02,2026-01-28,PASS,,,False,False
INSP0135,VEH002,COMP001,SUP003,PLANT01,LINE01,2026-02-03,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0136,VEH002,COMP003,SUP001,PLANT01,LINE03,2026-02-20,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0137,VEH002,COMP003,SUP002,PLANT01,LINE02,2026-02-13,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0138,VEH001,COMP001,SUP003,PLANT01,LINE02,2026-01-22,FAIL,SCRATCH,MINOR,True,False
INSP0139,VEH003,COMP003,SUP003,PLANT02,LINE01,2026-03-02,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0140,VEH003,COMP002,SUP003,PLANT02,LINE01,2026-01-23,PASS,,,False,False
INSP0141,VEH002,COMP003,SUP003,PLANT01,LINE02,2026-01-12,PASS,,,False,False
INSP0142,VEH002,COMP001,SUP001,PLANT02,LINE03,2026-01-18,PASS,,,False,False
INSP0143,VEH001,COMP002,SUP003,PLANT02,LINE03,2026-01-13,PASS,,,False,False
INSP0144,VEH003,COMP001,SUP001,PLANT02,LINE03,2026-01-12,FAIL,SCRATCH,MINOR,True,False
INSP0145,VEH003,COMP002,SUP003,PLANT02,LINE02,2026-02-26,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0146,VEH002,COMP001,SUP002,PLANT01,LINE03,2026-02-03,PASS,,,False,False
INSP0147,VEH002,COMP001,SUP003,PLANT02,LINE01,2026-02-03,FAIL,SCRATCH,MINOR,True,False
INSP0148,VEH002,COMP002,SUP003,PLANT02,LINE02,2026-02-23,PASS,,,False,False
INSP0149,VEH003,COMP002,SUP002,PLANT02,LINE03,2026-01-07,FAIL,SCRATCH,MINOR,True,False
INSP0150,VEH003,COMP002,SUP001,PLANT02,LINE01,2026-01-22,PASS,,,False,False
INSP0151,VEH001,COMP002,SUP003,PLANT02,LINE01,2026-01-29,PASS,,,False,False
INSP0152,VEH002,COMP001,SUP003,PLANT01,LINE03,2026-02-25,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0153,VEH001,COMP001,SUP001,PLANT02,LINE02,2026-01-07,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0154,VEH002,COMP001,SUP003,PLANT01,LINE03,2026-02-20,FAIL,SCRATCH,MINOR,True,False
INSP0155,VEH003,COMP002,SUP002,PLANT01,LINE02,2026-02-07,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0156,VEH001,COMP001,SUP003,PLANT01,LINE02,2026-02-08,PASS,,,False,False
INSP0157,VEH003,COMP003,SUP001,PLANT01,LINE02,2026-01-11,PASS,,,False,False
INSP0158,VEH003,COMP003,SUP001,PLANT01,LINE02,2026-01-13,PASS,,,False,False
INSP0159,VEH001,COMP001,SUP002,PLANT01,LINE02,2026-02-27,PASS,,,False,False
INSP0160,VEH002,COMP002,SUP003,PLANT01,LINE02,2026-01-21,FAIL,SCRATCH,MINOR,True,False
INSP0161,VEH003,COMP001,SUP002,PLANT01,LINE01,2026-01-17,PASS,,,False,False
INSP0162,VEH002,COMP002,SUP003,PLANT01,LINE03,2026-02-28,FAIL,SCRATCH,MINOR,True,False
INSP0163,VEH003,COMP001,SUP002,PLANT01,LINE02,2026-01-08,PASS,,,False,False
INSP0164,VEH003,COMP001,SUP003,PLANT02,LINE01,2026-02-01,PASS,,,False,False
INSP0165,VEH001,COMP001,SUP003,PLANT01,LINE01,2026-02-05,FAIL,SCRATCH,MINOR,True,False
INSP0166,VEH001,COMP001,SUP003,PLANT01,LINE02,2026-02-12,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0167,VEH001,COMP003,SUP001,PLANT02,LINE03,2026-02-12,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0168,VEH003,COMP001,SUP001,PLANT02,LINE02,2026-02-15,PASS,,,False,False
INSP0169,VEH001,COMP001,SUP001,PLANT01,LINE02,2026-01-18,PASS,,,False,False
INSP0170,VEH002,COMP002,SUP001,PLANT01,LINE03,2026-02-16,PASS,,,False,False
INSP0171,VEH002,COMP001,SUP002,PLANT02,LINE02,2026-01-24,FAIL,SCRATCH,MINOR,True,False
INSP0172,VEH003,COMP002,SUP003,PLANT02,LINE02,2026-01-22,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0173,VEH001,COMP003,SUP002,PLANT02,LINE03,2026-01-07,PASS,,,False,False
INSP0174,VEH002,COMP001,SUP001,PLANT02,LINE02,2026-01-11,FAIL,DIMENSION_ERROR,EXTREME,True,False
INSP0175,VEH002,COMP003,SUP002,PLANT02,LINE02,2026-01-13,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0176,VEH001,COMP001,SUP003,PLANT01,LINE01,2026-02-03,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0177,VEH002,COMP002,SUP003,PLANT01,LINE02,2026-02-23,PASS,,,False,False
INSP0178,VEH003,COMP001,SUP003,PLANT02,LINE01,2026-01-04,FAIL,SCRATCH,MINOR,True,False
INSP0179,VEH003,COMP001,SUP003,PLANT01,LINE01,2026-01-13,PASS,,,False,False
INSP0180,VEH002,COMP001,SUP001,PLANT02,LINE01,2026-01-13,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0181,VEH001,COMP002,SUP001,PLANT02,LINE01,2026-02-20,PASS,,,False,False
INSP0182,VEH001,COMP002,SUP001,PLANT02,LINE01,2026-02-02,PASS,,,False,False
INSP0183,VEH001,COMP002,SUP002,PLANT02,LINE03,2026-01-31,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0184,VEH001,COMP003,SUP001,PLANT02,LINE03,2026-02-24,PASS,,,False,False
INSP0185,VEH001,COMP003,SUP003,PLANT02,LINE02,2026-02-23,PASS,,,False,False
INSP0186,VEH002,COMP002,SUP001,PLANT02,LINE02,2026-01-18,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0187,VEH002,COMP999,SUP001,PLANT02,LINE01,2026-01-17,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0188,VEH003,COMP002,SUP001,PLANT01,LINE03,2026-02-10,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0189,VEH003,COMP001,SUP001,PLANT01,LINE02,2026-01-26,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0190,VEH003,COMP002,SUP002,PLANT01,LINE03,2026-01-14,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0191,VEH002,COMP001,SUP002,PLANT02,LINE02,2026-01-13,PASS,,,False,False
INSP0192,VEH001,COMP002,SUP003,PLANT01,LINE01,2026-03-02,PASS,,,False,False
INSP0193,VEH002,COMP003,SUP001,PLANT02,LINE01,2026-02-23,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0194,VEH003,COMP001,SUP001,PLANT02,LINE03,2026-02-25,FAIL,DIMENSION_ERROR,MINOR,True,False
INSP0195,VEH002,COMP001,SUP003,PLANT01,LINE01,2026-02-01,PASS,,,False,False
INSP0196,VEH001,COMP002,SUP003,PLANT01,LINE01,2026-01-14,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0197,VEH003,COMP002,SUP002,PLANT01,LINE02,2026-02-01,PASS,,,False,False
INSP0198,VEH003,COMP002,SUP002,PLANT01,LINE02,2026-01-20,FAIL,ELECTRICAL_FAULT,MINOR,True,False
INSP0199,VEH001,COMP003,SUP003,PLANT01,LINE01,2026-02-11,FAIL,DIMENSION_ERROR,MINOR,True,False
