production_order_id,vehicle_model_id,plant_id,production_line_id,planned_start_time,actual_start_time,planned_end_time,actual_end_time,planned_quantity,actual_quantity,rework_quantity,scrap_quantity,production_status
,MODEL_B,PLANT01,LINE02,2026-01-30,2026-02-01,2026-01-30,2026-02-03,500,480,15,5,COMPLETED
PROD0015,MODEL_B,PLANT02,LINE01,2026-01-14,2026-01-16,2026-01-18,2026-01-16,500,480,15,5,COMPLETED
PROD0016,MODEL_C,PLANT02,LINE03,2026-01-31,2026-01-31,2026-02-01,2026-02-03,500,480,15,5,COMPLETED
PROD0017,MODEL_A,PLANT01,LINE02,2026-01-05,2026-01-06,2026-01-08,2026-01-07,500,480,15,5,COMPLETED
PROD0018,MODEL_C,PLANT02,LINE03,2026-01-19,2026-01-20,2026-01-21,2026-01-21,500,480,15,5,COMPLETED
PROD0019,MODEL_B,PLANT02,LINE02,2026-01-22,2026-01-25,2026-01-24,2026-01-26,500,480,15,5,COMPLETED
PROD0020,MODEL_C,PLANT02,LINE01,2026-01-29,2026-01-31,2026-01-29,2026-02-05,500,480,15,5,COMPLETED
PROD0021,MODEL_B,PLANT02,LINE01,2026-01-17,2026-01-17,2026-01-20,2026-01-17,500,480,15,5,COMPLETED
PROD0022,MODEL_A,PLANT01,LINE03,2026-01-23,2026-01-26,2026-01-27,2026-01-29,500,480,15,5,COMPLETED
PROD0023,MODEL_B,PLANT02,LINE03,2026-01-13,2026-01-14,2026-01-13,2026-01-19,500,480,15,5,COMPLETED
PROD0024,MODEL_A,PLANT01,LINE03,2026-01-09,2026-01-09,2026-01-11,2026-01-10,500,480,15,5,COMPLETED
PROD0025,MODEL_B,PLANT01,LINE01,2026-01-02,2026-01-02,2026-01-02,2026-01-04,500,480,15,5,COMPLETED
PROD0026,MODEL_C,PLANT02,LINE03,2026-01-26,2026-01-26,2026-01-31,2026-01-28,500,480,15,5,COMPLETED
PROD0027,MODEL_C,PLANT02,LINE03,2026-01-01,2026-01-04,2026-01-02,2026-01-08,500,480,15,5,COMPLETED
PROD0028,MODEL_C,PLANT02,LINE02,2026-01-14,2026-01-16,2026-01-14,2026-01-16,500,480,15,5,COMPLETED
PROD0029,MODEL_C,PLANT01,LINE01,2026-01-22,2026-01-25,2026-01-26,2026-01-30,500,480,15,5,COMPLETED
PROD0030,MODEL_C,PLANT02,LINE01,2026-01-14,2026-01-15,2026-01-17,2026-01-15,500,480,15,5,COMPLETED
PROD0031,MODEL_C,PLANT01,LINE01,2026-01-09,2026-01-09,2026-01-10,2026-01-10,500,480,15,5,COMPLETED
PROD0032,MODEL_B,PLANT01,LINE02,2026-01-05,2026-01-06,2026-01-06,2026-01-06,500,480,15,5,COMPLETED
PROD0033,MODEL_C,PLANT01,LINE01,2026-01-17,2026-01-18,2026-01-21,2026-01-22,500,480,15,5,COMPLETED
PROD0034,MODEL_B,PLANT02,LINE02,2026-01-10,2026-01-10,2026-01-12,2026-01-11,500,480,15,5,COMPLETED
PROD0035,MODEL_B,PLANT02,LINE01,2026-01-07,2026-01-08,2026-01-08,2026-01-09,500,480,15,5,COMPLETED
PROD0036,MODEL_B,PLANT01,LINE03,2026-01-31,2026-01-31,2026-02-03,2026-02-04,500,480,15,5,COMPLETED
,MODEL_C,PLANT02,LINE03,2026-01-21,2026-01-21,2026-01-21,2026-01-26,500,480,15,5,COMPLETED
PROD0038,MODEL_A,PLANT02,LINE03,2026-01-15,2026-01-17,2026-01-18,2026-01-18,500,480,15,5,COMPLETED
PROD0039,MODEL_A,PLANT02,LINE01,2026-01-01,2026-01-02,2026-01-06,2026-01-03,500,480,15,5,COMPLETED
PROD0040,MODEL_B,PLANT02,LINE01,2026-01-30,2026-02-02,2026-01-30,2026-02-05,500,480,15,5,COMPLETED
PROD0041,MODEL_A,PLANT02,LINE03,2026-01-23,2026-01-23,2026-01-28,2026-01-23,500,480,15,5,COMPLETED
PROD0042,MODEL_B,PLANT02,LINE02,2026-01-27,2026-01-27,2026-01-28,2026-01-30,500,480,15,-10,COMPLETED
,MODEL_A,PLANT01,LINE02,2026-01-21,2026-01-24,2026-01-24,2026-01-26,500,480,15,5,COMPLETED
PROD0044,MODEL_A,PLANT02,LINE01,2026-01-24,2026-01-25,2026-01-24,2026-01-30,500,480,15,5,COMPLETED
PROD0045,MODEL_B,PLANT01,LINE02,2026-01-24,2026-01-27,2026-01-28,2026-01-30,500,480,15,5,COMPLETED
PROD0046,MODEL_B,PLANT02,LINE01,2026-01-22,2026-01-22,2026-01-27,2026-01-24,500,480,15,5,COMPLETED
PROD0047,MODEL_B,PLANT02,LINE02,2026-01-17,2026-01-17,2026-01-22,2026-01-22,500,480,15,5,COMPLETED
PROD0048,MODEL_C,PLANT02,LINE03,2026-01-17,2026-01-19,2026-01-21,2026-01-22,500,480,15,5,COMPLETED
PROD0049,MODEL_C,PLANT01,LINE02,2026-01-20,2026-01-23,2026-01-22,2026-01-26,500,480,15,5,COMPLETED
PROD0050,MODEL_C,PLANT01,LINE02,2026-01-25,2026-01-28,2026-01-29,2026-01-29,500,480,15,5,COMPLETED
PROD0051,MODEL_C,PLANT02,LINE03,2026-01-31,2026-02-01,2026-02-03,2026-02-01,500,480,15,5,COMPLETED
PROD0052,MODEL_C,PLANT02,LINE03,2026-01-22,2026-01-22,2026-01-22,2026-01-25,500,480,15,5,COMPLETED
PROD0053,MODEL_C,PLANT01,LINE01,2026-01-10,2026-01-10,2026-01-15,2026-01-11,500,480,15,5,COMPLETED
PROD0054,MODEL_B,PLANT02,LINE01,2026-01-31,2026-01-31,2026-02-03,2026-02-02,500,480,15,5,COMPLETED
PROD0055,MODEL_C,PLANT01,LINE01,2026-01-23,2026-01-26,2026-01-27,2026-01-29,500,480,15,5,COMPLETED
PROD0056,MODEL_A,PLANT02,LINE02,2026-01-15,2026-01-17,2026-01-16,2026-01-18,500,480,15,5,COMPLETED
PROD0057,MODEL_B,PLANT01,LINE02,2026-01-20,2026-01-23,2026-01-23,2026-01-27,500,480,15,5,COMPLETED
PROD0058,MODEL_C,PLANT02,LINE01,2026-01-05,2026-01-07,2026-01-08,2026-01-09,500,480,15,5,COMPLETED
PROD0059,MODEL_B,PLANT02,LINE01,2026-01-19,2026-01-22,2026-01-24,2026-01-23,500,480,15,5,COMPLETED
PROD0060,MODEL_B,PLANT01,LINE03,2026-01-01,2026-01-04,2026-01-06,2026-01-04,500,480,15,5,COMPLETED
PROD0061,MODEL_A,PLANT02,LINE02,2026-01-30,2026-01-31,2026-02-01,2026-02-03,500,480,15,5,COMPLETED
PROD0062,MODEL_C,PLANT02,LINE01,2026-01-03,2026-01-04,2026-01-08,2026-01-08,500,480,15,5,COMPLETED
PROD0063,MODEL_C,PLANT02,LINE03,2026-01-19,2026-01-19,2026-01-20,2026-01-22,500,480,15,5,COMPLETED
PROD0064,MODEL_C,PLANT01,LINE03,2026-01-17,2026-01-19,2026-01-17,2026-01-20,500,480,15,-10,COMPLETED
PROD0065,MODEL_A,PLANT02,LINE03,2026-01-30,2026-02-02,2026-02-04,2026-02-04,500,480,15,5,COMPLETED
PROD0066,MODEL_A,PLANT02,LINE02,2026-01-31,2026-02-01,2026-02-05,2026-02-04,500,480,15,-10,COMPLETED
PROD0067,MODEL_B,PLANT02,LINE01,2026-01-26,2026-01-29,2026-01-30,2026-02-01,500,480,15,5,COMPLETED
PROD0068,MODEL_A,PLANT02,LINE01,2026-01-02,2026-01-02,2026-01-02,2026-01-06,500,480,15,5,COMPLETED
PROD0069,MODEL_A,PLANT01,LINE02,2026-01-06,2026-01-08,2026-01-09,2026-01-09,500,480,15,5,COMPLETED
PROD0070,MODEL_A,PLANT02,LINE01,2026-01-12,2026-01-13,2026-01-14,2026-01-16,500,480,15,5,COMPLETED
PROD0071,MODEL_B,PLANT01,LINE03,2026-01-14,2026-01-16,2026-01-18,2026-01-19,500,480,15,5,COMPLETED
PROD0072,MODEL_A,PLANT02,LINE02,2026-01-25,2026-01-25,2026-01-28,2026-01-30,500,480,15,5,COMPLETED
PROD0073,MODEL_B,PLANT01,LINE01,2026-01-29,2026-01-29,2026-01-31,2026-01-31,500,480,15,-10,COMPLETED
PROD0074,MODEL_C,PLANT01,LINE02,2026-01-06,2026-01-08,2026-01-11,2026-01-08,500,480,15,5,COMPLETED
PROD0075,MODEL_A,PLANT02,LINE01,2026-01-15,2026-01-17,2026-01-15,2026-01-21,500,480,15,-10,COMPLETED
PROD0076,MODEL_A,PLANT01,LINE02,2026-01-08,2026-01-08,2026-01-09,2026-01-09,500,480,15,5,COMPLETED
PROD0077,MODEL_B,PLANT01,LINE01,2026-01-01,2026-01-04,2026-01-02,2026-01-09,500,480,15,5,COMPLETED
PROD0078,MODEL_B,PLANT02,LINE02,2026-01-17,2026-01-17,2026-01-20,2026-01-19,500,480,15,5,COMPLETED
PROD0079,MODEL_A,PLANT02,LINE02,2026-01-30,2026-01-31,2026-01-31,2026-02-03,500,480,15,5,COMPLETED
PROD0080,MODEL_C,PLANT02,LINE02,2026-01-07,2026-01-10,2026-01-12,2026-01-14,500,480,15,5,COMPLETED
PROD0081,MODEL_B,PLANT02,LINE01,2026-01-29,2026-01-31,2026-02-02,2026-02-05,500,480,15,5,COMPLETED
PROD0082,MODEL_A,PLANT02,LINE03,2026-01-01,2026-01-02,2026-01-05,2026-01-07,500,480,15,5,COMPLETED
PROD0083,MODEL_B,PLANT01,LINE03,2026-01-25,2026-01-25,2026-01-29,2026-01-29,500,480,15,5,COMPLETED
PROD0084,MODEL_C,PLANT01,LINE02,2026-01-12,2026-01-14,2026-01-13,2026-01-16,500,480,15,5,COMPLETED
PROD0085,MODEL_B,PLANT01,LINE03,2026-01-16,2026-01-18,2026-01-21,2026-01-19,500,480,15,5,COMPLETED
PROD0086,MODEL_C,PLANT01,LINE02,2026-01-01,2026-01-02,2026-01-05,2026-01-07,500,480,15,5,COMPLETED
PROD0087,MODEL_B,PLANT01,LINE01,2026-01-29,2026-01-30,2026-01-31,2026-01-31,500,480,15,5,COMPLETED
PROD0088,MODEL_C,PLANT01,LINE03,2026-01-25,2026-01-25,2026-01-25,2026-01-25,500,480,15,5,COMPLETED
PROD0089,MODEL_C,PLANT01,LINE03,2026-01-27,2026-01-30,2026-01-31,2026-01-30,500,480,15,5,COMPLETED
PROD0090,MODEL_A,PLANT02,LINE03,2026-01-05,2026-01-07,2026-01-05,2026-01-08,500,480,15,5,COMPLETED
PROD0091,MODEL_A,PLANT02,LINE02,2026-01-15,2026-01-16,2026-01-17,2026-01-21,500,480,15,5,COMPLETED
PROD0092,MODEL_A,PLANT02,LINE01,2026-01-22,2026-01-23,2026-01-23,2026-01-26,500,480,15,5,UNKNOWN_STATUS
PROD0093,MODEL_A,PLANT01,LINE01,2026-01-26,2026-01-26,2026-01-30,2026-01-28,500,480,15,5,COMPLETED
PROD0094,MODEL_A,PLANT01,LINE02,2026-01-20,2026-01-23,2026-01-24,2026-01-27,500,480,15,5,COMPLETED
PROD0095,MODEL_B,PLANT01,LINE02,2026-01-10,2026-01-13,2026-01-10,2026-01-17,500,480,15,5,COMPLETED
PROD0096,MODEL_A,PLANT01,LINE02,2026-01-06,2026-01-06,2026-01-10,2026-01-10,500,480,15,5,COMPLETED
PROD0097,MODEL_A,PLANT01,LINE02,2026-01-02,2026-01-03,2026-01-03,2026-01-04,500,480,15,5,COMPLETED
PROD0098,MODEL_A,PLANT02,LINE01,2026-01-19,2026-01-22,2026-01-19,2026-01-26,500,480,15,5,COMPLETED
PROD0099,MODEL_A,PLANT02,LINE02,2026-01-23,2026-01-25,2026-01-24,2026-01-30,500,480,15,5,COMPLETED
PROD0100,MODEL_B,PLANT01,LINE03,2026-01-30,2026-02-01,2026-02-04,2026-02-04,500,480,15,5,COMPLETED
PROD0101,MODEL_C,PLANT02,LINE01,2026-01-06,2026-01-06,2026-01-06,2026-01-09,500,480,15,5,COMPLETED
PROD0102,MODEL_A,PLANT02,LINE03,2026-01-07,2026-01-09,2026-01-09,2026-01-09,500,480,15,5,COMPLETED
PROD0103,MODEL_A,PLANT01,LINE03,2026-01-10,2026-01-11,2026-01-11,2026-01-16,500,480,15,5,COMPLETED
PROD0104,MODEL_B,PLANT01,LINE01,2026-01-14,2026-01-14,2026-01-18,2026-01-17,500,480,15,5,COMPLETED
PROD0105,MODEL_B,PLANT02,LINE01,2026-01-28,2026-01-30,2026-01-31,2026-02-02,500,480,15,5,COMPLETED
PROD0106,MODEL_A,PLANT02,LINE02,2026-01-11,2026-01-11,2026-01-13,2026-01-11,500,480,15,5,COMPLETED
PROD0107,MODEL_A,PLANT01,LINE01,2026-01-05,2026-01-06,2026-01-07,2026-01-06,500,480,15,5,COMPLETED
PROD0108,MODEL_B,PLANT01,LINE02,2026-01-19,2026-01-19,2026-01-24,2026-01-23,500,480,15,5,COMPLETED
PROD0109,MODEL_B,PLANT01,LINE01,2026-01-07,2026-01-07,2026-01-12,2026-01-08,500,480,15,5,COMPLETED
PROD0110,MODEL_C,PLANT02,LINE02,2026-01-25,2026-01-28,2026-01-26,2026-02-02,500,480,15,5,COMPLETED
PROD0111,MODEL_B,PLANT01,LINE03,2026-01-10,2026-01-10,2026-01-11,2026-01-13,500,480,15,5,COMPLETED
PROD0112,MODEL_A,PLANT02,LINE03,2026-01-17,2026-01-18,2026-01-18,2026-01-23,500,480,15,5,COMPLETED
PROD0113,MODEL_A,PLANT02,LINE02,2026-01-17,2026-01-20,2026-01-20,2026-01-25,500,480,15,5,COMPLETED
PROD0114,MODEL_A,PLANT01,LINE01,2026-01-10,2026-01-12,2026-01-14,2026-01-16,500,480,15,5,COMPLETED
PROD0115,MODEL_B,PLANT01,LINE03,2026-01-22,2026-01-22,2026-01-24,2026-01-27,500,480,15,5,COMPLETED
PROD0116,MODEL_A,PLANT02,LINE02,2026-01-03,2026-01-03,2026-01-05,2026-01-08,500,480,15,5,COMPLETED
PROD0117,MODEL_C,PLANT02,LINE01,2026-01-05,2026-01-07,2026-01-10,2026-01-09,500,480,15,5,COMPLETED
PROD0118,MODEL_A,PLANT02,LINE02,2026-01-27,2026-01-27,2026-01-29,2026-02-01,500,480,15,5,COMPLETED
PROD0119,MODEL_A,PLANT01,LINE01,2026-01-25,2026-01-28,2026-01-26,2026-01-31,500,480,15,-10,COMPLETED
PROD0120,MODEL_A,PLANT01,LINE01,2026-01-01,2026-01-02,2026-01-02,2026-01-07,500,480,15,5,COMPLETED
PROD0121,MODEL_C,PLANT02,LINE03,2026-01-29,2026-01-29,2026-01-29,2026-01-29,500,480,15,5,COMPLETED
PROD0122,MODEL_C,PLANT02,LINE02,2026-01-21,2026-01-22,2026-01-22,2026-01-26,500,480,15,5,COMPLETED
PROD0123,MODEL_A,PLANT02,LINE02,2026-01-09,2026-01-10,2026-01-14,2026-01-10,500,480,15,5,COMPLETED
PROD0124,MODEL_B,PLANT02,LINE01,2026-01-23,2026-01-26,2026-01-25,2026-01-28,500,480,15,5,COMPLETED
PROD0125,MODEL_B,PLANT02,LINE02,2026-01-31,2026-01-31,2026-02-02,2026-02-01,500,480,15,5,COMPLETED
PROD0126,MODEL_B,PLANT01,LINE01,2026-01-10,2026-01-11,2026-01-14,2026-01-15,500,480,15,5,COMPLETED
PROD0127,MODEL_C,PLANT01,LINE01,2026-01-11,2026-01-14,2026-01-16,2026-01-15,500,480,15,5,COMPLETED
PROD0128,MODEL_B,PLANT02,LINE03,2026-01-05,2026-01-07,2026-01-10,2026-01-12,500,480,15,5,COMPLETED
PROD0129,MODEL_B,PLANT01,LINE01,2026-01-22,2026-01-23,2026-01-26,2026-01-28,500,480,15,5,COMPLETED
PROD0130,MODEL_A,PLANT02,LINE02,2026-01-01,2026-01-03,2026-01-06,2026-01-04,500,480,15,5,COMPLETED
PROD0131,MODEL_C,PLANT01,LINE02,2026-01-11,2026-01-11,2026-01-15,2026-01-11,500,480,15,5,COMPLETED
PROD0132,MODEL_A,PLANT01,LINE03,2026-01-12,2026-01-12,2026-01-14,2026-01-14,500,480,15,5,COMPLETED
PROD0133,MODEL_A,PLANT02,LINE03,2026-01-06,2026-01-07,2026-01-06,2026-01-10,500,480,15,5,COMPLETED
PROD0134,MODEL_B,PLANT01,LINE03,2026-01-16,2026-01-18,2026-01-17,2026-01-19,500,480,15,5,COMPLETED
PROD0135,MODEL_C,PLANT02,LINE03,2026-01-27,2026-01-28,2026-02-01,2026-01-30,500,480,15,5,COMPLETED
PROD0136,MODEL_A,PLANT01,LINE02,2026-01-03,2026-01-06,2026-01-05,2026-01-11,500,480,15,5,COMPLETED
PROD0137,MODEL_A,PLANT02,LINE02,2026-01-12,2026-01-15,2026-01-13,2026-01-19,500,480,15,5,COMPLETED
PROD0138,MODEL_B,PLANT01,LINE02,2026-01-25,2026-01-26,2026-01-29,2026-01-30,500,480,15,5,COMPLETED
PROD0139,MODEL_A,PLANT01,LINE03,2026-01-23,2026-01-25,2026-01-25,2026-01-26,500,480,15,5,COMPLETED
PROD0140,MODEL_A,PLANT01,LINE03,2026-01-27,2026-01-28,2026-01-31,2026-01-28,500,480,15,5,COMPLETED
,MODEL_C,PLANT02,LINE01,2026-01-19,2026-01-19,2026-01-20,2026-01-21,500,480,15,5,COMPLETED
PROD0142,MODEL_A,PLANT01,LINE02,2026-01-31,2026-02-03,2026-01-31,2026-02-06,500,480,15,5,COMPLETED
PROD0143,MODEL_B,PLANT02,LINE03,2026-01-16,2026-01-16,2026-01-19,2026-01-19,500,480,15,5,COMPLETED
PROD0144,MODEL_C,PLANT02,LINE03,2026-01-22,2026-01-22,2026-01-22,2026-01-26,500,480,15,5,COMPLETED
PROD0145,MODEL_B,PLANT02,LINE03,2026-01-07,2026-01-07,2026-01-09,2026-01-10,500,480,15,5,COMPLETED
PROD0146,MODEL_B,PLANT01,LINE03,2026-01-16,2026-01-17,2026-01-16,2026-01-20,500,480,15,5,COMPLETED
PROD0147,MODEL_C,PLANT02,LINE01,2026-01-31,2026-02-03,2026-02-05,2026-02-07,500,480,15,5,COMPLETED
PROD0148,MODEL_A,PLANT01,LINE02,2026-01-07,2026-01-09,2026-01-09,2026-01-14,500,480,15,5,COMPLETED
PROD0149,MODEL_B,PLANT01,LINE02,2026-01-05,2026-01-07,2026-01-07,2026-01-10,500,480,15,5,COMPLETED
PROD0150,MODEL_A,PLANT02,LINE03,2026-01-12,2026-01-12,2026-01-12,2026-01-14,500,480,15,5,UNKNOWN_STATUS
PROD0151,MODEL_A,PLANT01,LINE03,2026-01-20,2026-01-23,2026-01-24,2026-01-28,500,480,15,5,COMPLETED
PROD0152,MODEL_B,PLANT01,LINE01,2026-01-14,2026-01-17,2026-01-16,2026-01-22,500,480,15,5,COMPLETED
PROD0153,MODEL_A,PLANT01,LINE02,2026-01-07,2026-01-07,2026-01-07,2026-01-10,500,480,15,5,COMPLETED
PROD0154,MODEL_A,PLANT02,LINE01,2026-01-17,2026-01-19,2026-01-21,2026-01-21,500,480,15,5,COMPLETED
PROD0155,MODEL_C,PLANT02,LINE01,2026-01-07,2026-01-09,2026-01-10,2026-01-13,500,480,15,5,COMPLETED
PROD0156,MODEL_B,PLANT01,LINE03,2026-01-28,2026-01-31,2026-01-30,2026-02-02,500,480,15,5,COMPLETED
PROD0157,MODEL_C,PLANT01,LINE03,2026-01-23,2026-01-23,2026-01-25,2026-01-23,500,480,15,5,COMPLETED
PROD0158,MODEL_A,PLANT01,LINE01,2026-01-08,2026-01-11,2026-01-11,2026-01-12,500,480,15,5,COMPLETED
PROD0159,MODEL_C,PLANT01,LINE03,2026-01-06,2026-01-08,2026-01-07,2026-01-13,500,480,15,5,COMPLETED
PROD0160,MODEL_C,PLANT02,LINE01,2026-01-02,2026-01-05,2026-01-06,2026-01-05,500,480,15,5,COMPLETED
PROD0161,MODEL_C,PLANT01,LINE01,2026-01-20,2026-01-21,2026-01-20,2026-01-23,500,480,15,5,COMPLETED
PROD0162,MODEL_B,PLANT01,LINE01,2026-01-11,2026-01-11,2026-01-16,2026-01-12,500,480,15,5,COMPLETED
PROD0163,MODEL_B,PLANT01,LINE02,2026-01-14,2026-01-16,2026-01-17,2026-01-20,500,480,15,5,COMPLETED
PROD0164,MODEL_C,PLANT01,LINE01,2026-01-21,2026-01-22,2026-01-23,2026-01-24,500,480,15,5,COMPLETED
PROD0165,MODEL_B,PLANT01,LINE01,2026-01-18,2026-01-19,2026-01-21,2026-01-20,500,480,15,5,COMPLETED
PROD0166,MODEL_C,PLANT02,LINE03,2026-01-18,2026-01-21,2026-01-22,2026-01-21,500,480,15,5,COMPLETED
PROD0167,MODEL_A,PLANT02,LINE03,2026-01-17,2026-01-18,2026-01-20,2026-01-19,500,480,15,5,COMPLETED
PROD0168,MODEL_C,PLANT02,LINE01,2026-01-19,2026-01-21,2026-01-19,2026-01-24,500,480,15,5,COMPLETED
PROD0169,MODEL_B,PLANT02,LINE01,2026-01-16,2026-01-16,2026-01-19,2026-01-19,500,480,15,5,COMPLETED
PROD0170,MODEL_C,PLANT01,LINE01,2026-01-10,2026-01-12,2026-01-14,2026-01-15,500,480,15,5,COMPLETED
PROD0171,MODEL_B,PLANT01,LINE03,2026-01-28,2026-01-29,2026-01-29,2026-01-30,500,480,15,5,COMPLETED
PROD0172,MODEL_A,PLANT02,LINE02,2026-01-09,2026-01-09,2026-01-13,2026-01-11,500,480,15,5,COMPLETED
PROD0173,MODEL_A,PLANT01,LINE03,2026-01-15,2026-01-18,2026-01-19,2026-01-21,500,480,15,5,COMPLETED
PROD0174,MODEL_A,PLANT01,LINE01,2026-01-12,2026-01-14,2026-01-16,2026-01-14,500,480,15,5,COMPLETED
PROD0175,MODEL_A,PLANT01,LINE02,2026-01-13,2026-01-13,2026-01-16,2026-01-16,500,480,15,5,COMPLETED
PROD0176,MODEL_C,PLANT01,LINE02,2026-01-11,2026-01-14,2026-01-14,2026-01-17,500,480,15,5,COMPLETED
PROD0177,MODEL_B,PLANT02,LINE02,2026-01-27,2026-01-30,2026-01-31,2026-02-04,500,480,15,5,COMPLETED
PROD0178,MODEL_C,PLANT01,LINE02,2026-01-30,2026-01-31,2026-02-03,2026-02-04,500,480,15,5,COMPLETED
PROD0179,MODEL_A,PLANT02,LINE03,2026-01-28,2026-01-30,2026-01-30,2026-02-04,500,480,15,5,COMPLETED
PROD0180,MODEL_A,PLANT01,LINE02,2026-01-26,2026-01-28,2026-01-30,2026-02-02,500,480,15,5,COMPLETED
PROD0181,MODEL_C,PLANT01,LINE01,2026-01-23,2026-01-26,2026-01-23,2026-01-31,500,480,15,5,COMPLETED
PROD0182,MODEL_A,PLANT02,LINE01,2026-01-24,2026-01-25,2026-01-24,2026-01-29,500,480,15,5,COMPLETED
PROD0183,MODEL_B,PLANT01,LINE02,2026-01-06,2026-01-06,2026-01-11,2026-01-07,500,480,15,5,COMPLETED
PROD0184,MODEL_C,PLANT02,LINE02,2026-01-11,2026-01-14,2026-01-15,2026-01-18,500,480,15,5,COMPLETED
PROD0185,MODEL_A,PLANT02,LINE03,2026-01-17,2026-01-20,2026-01-19,2026-01-21,500,480,15,5,COMPLETED
PROD0186,MODEL_B,PLANT02,LINE01,2026-01-02,2026-01-03,2026-01-04,2026-01-05,500,480,15,5,COMPLETED
PROD0187,MODEL_B,PLANT02,LINE01,2026-01-19,2026-01-19,2026-01-20,2026-01-19,500,480,15,5,COMPLETED
PROD0188,MODEL_A,PLANT02,LINE03,2026-01-12,2026-01-13,2026-01-14,2026-01-18,500,480,15,5,COMPLETED
PROD0189,MODEL_A,PLANT02,LINE03,2026-01-07,2026-01-09,2026-01-09,2026-01-11,500,480,15,-10,COMPLETED
PROD0190,MODEL_B,PLANT01,LINE01,2026-01-07,2026-01-07,2026-01-08,2026-01-12,500,480,15,5,COMPLETED
PROD0191,MODEL_A,PLANT02,LINE01,2026-01-05,2026-01-08,2026-01-08,2026-01-10,500,480,15,5,COMPLETED
,MODEL_C,PLANT02,LINE03,2026-01-07,2026-01-09,2026-01-10,2026-01-13,500,480,15,5,COMPLETED
PROD0193,MODEL_C,PLANT01,LINE02,2026-01-21,2026-01-22,2026-01-26,2026-01-27,500,480,15,5,COMPLETED
PROD0194,MODEL_A,PLANT01,LINE02,2026-01-11,2026-01-11,2026-01-14,2026-01-13,500,480,15,5,COMPLETED
PROD0195,MODEL_A,PLANT02,LINE03,2026-01-25,2026-01-25,2026-01-26,2026-01-28,500,480,15,5,COMPLETED
PROD0196,MODEL_A,PLANT01,LINE02,2026-01-28,2026-01-31,2026-02-01,2026-02-05,500,480,15,5,COMPLETED
PROD0197,MODEL_B,PLANT02,LINE01,2026-01-22,2026-01-22,2026-01-26,2026-01-26,500,480,15,5,COMPLETED
PROD0198,MODEL_C,PLANT01,LINE01,2026-01-17,2026-01-18,2026-01-21,2026-01-23,500,480,15,5,COMPLETED
PROD0199,MODEL_C,PLANT01,LINE03,2026-01-24,2026-01-24,2026-01-24,2026-01-24,500,480,15,-10,COMPLETED
